TimeSeries ID,tpu/mxu/utilization.tpu_worker.ALIGN_MEAN.REDUCE_MEAN.resource.type=tpu_worker AND resource.label.project_id="intercloud-320520" AND metric.type="tpu.googleapis.com/tpu/mxu/utilization" AND resource.labels.zone="us-central1-b" AND resource.labels.node_id="test-chain-app-0-train-op".project_id:intercloud-320520.worker_id:0
worker_id,0
project_id,intercloud-320520
Thu Sep 08 2022 20:27:50 GMT-0700 (Pacific Daylight Time),34.990943243813085
Thu Sep 08 2022 20:28:00 GMT-0700 (Pacific Daylight Time),34.990943243813085
Thu Sep 08 2022 20:28:10 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:28:20 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:28:30 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:28:40 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:28:50 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:29:00 GMT-0700 (Pacific Daylight Time),35.603198386436866
Thu Sep 08 2022 20:29:10 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:29:20 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:29:30 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:29:40 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:29:50 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:30:00 GMT-0700 (Pacific Daylight Time),34.809832773770026
Thu Sep 08 2022 20:30:10 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:30:20 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:30:30 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:30:40 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:30:50 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:31:00 GMT-0700 (Pacific Daylight Time),34.19034331966462
Thu Sep 08 2022 20:31:10 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:31:20 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:31:30 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:31:40 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:31:50 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:32:00 GMT-0700 (Pacific Daylight Time),34.632068291985135
Thu Sep 08 2022 20:32:10 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:32:20 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:32:30 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:32:40 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:32:50 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:33:00 GMT-0700 (Pacific Daylight Time),36.93817457826011
Thu Sep 08 2022 20:33:10 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:33:20 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:33:30 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:33:40 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:33:50 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:34:00 GMT-0700 (Pacific Daylight Time),35.758384273088275
Thu Sep 08 2022 20:34:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:34:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:34:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:34:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:34:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:35:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:35:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:35:20 GMT-0700 (Pacific Daylight Time),0
